N,P,K,temperature,humidity,ph,rainfall,label
67.6,58.7,61.2,26.04,73.75,6.39,73.35,Tomato
129.3,90.2,120.8,16.65,83.11,6.18,76.01,Cabbage
69.7,67.5,62.3,16.71,86.26,5.07,58.96,Potato
59.2,30.2,32.3,30.15,54.1,6.28,61.87,Millet
28.8,22.6,34.8,30.96,63.07,6.81,104.59,Mango
62.1,50.7,65.5,24.62,72.16,6.34,71.46,Tomato
98.4,56.8,60.5,33.29,82.83,6.42,184.68,Rice
100.7,68.0,106.2,27.55,86.18,6.99,121.34,Sugarcane
64.1,58.9,57.1,23.58,64.54,6.37,68.08,Tomato
32.6,79.9,29.0,21.21,68.15,6.83,35.35,Lentil
59.5,36.3,37.9,17.56,60.55,6.58,52.24,Barley
70.7,52.9,39.9,18.65,55.81,6.69,78.89,Wheat
145.9,79.9,122.4,17.06,85.63,6.06,79.75,Cauliflower
61.6,61.5,63.7,17.52,87.72,5.22,60.45,Potato
78.4,51.4,87.0,27.7,66.66,6.64,85.42,Chili
54.8,58.2,57.9,18.41,62.84,7.28,47.22,Mustard
58.3,42.9,45.7,19.24,59.27,6.73,74.33,Wheat
101.9,58.3,70.7,28.73,89.34,6.42,254.34,Rice
31.5,79.3,27.5,21.84,65.23,6.86,30.31,Lentil
70.8,65.4,70.5,22.99,69.6,6.61,46.81,Onion
32.1,80.3,33.1,13.63,73.79,7.05,48.82,Pea
62.1,45.5,52.7,17.93,55.11,6.79,75.42,Wheat
26.3,71.4,24.5,12.23,77.72,6.58,35.24,Pea
128.1,95.8,393.7,28.11,79.99,6.12,146.49,Banana
26.1,46.0,24.8,25.07,65.26,6.58,51.92,Soybean
77.8,69.0,103.8,25.91,81.53,6.94,76.26,Sugarcane
113.8,80.9,126.5,18.02,83.64,6.39,75.06,Cabbage
53.8,42.1,45.4,15.6,64.46,7.06,51.8,Barley
102.8,54.1,57.1,29.31,86.57,6.68,215.01,Rice
26.8,56.6,25.3,22.84,74.38,6.62,51.58,Soybean
30.2,71.6,31.5,11.74,74.44,6.8,57.41,Pea
97.3,56.4,82.0,20.25,74.27,6.27,91.02,Maize
95.9,59.4,78.4,24.18,70.62,6.25,100.75,Maize
57.3,48.5,39.8,17.29,63.21,7.05,62.04,Barley
68.3,64.1,63.5,14.99,68.71,6.94,44.02,Garlic
91.5,64.5,84.5,23.08,66.69,6.45,75.14,Maize
103.7,60.5,63.6,25.2,87.92,5.9,222.22,Rice
26.3,64.3,33.9,14.9,74.79,7.02,44.45,Pea
28.8,18.7,29.7,20.67,55.31,5.91,138.7,Apple
123.9,87.7,125.6,18.28,84.01,5.87,79.24,Cauliflower
60.7,53.0,60.1,17.06,62.86,5.87,53.66,Mustard
66.9,44.9,50.6,19.91,54.09,7.07,67.45,Wheat
33.2,49.8,32.6,23.95,67.64,6.28,55.28,Soybean
60.0,71.6,56.6,18.66,91.69,5.06,55.62,Potato
55.7,43.1,46.0,20.75,58.3,6.76,54.26,Wheat
58.5,29.9,45.9,23.0,64.13,6.8,70.9,Wheat
23.2,45.8,30.1,24.86,73.3,6.62,55.99,Soybean
98.8,45.5,81.2,24.64,65.09,6.28,87.74,Maize
51.4,39.6,40.5,17.27,62.53,7.07,59.67,Barley
92.9,58.0,55.9,27.03,87.64,6.38,645.8554587851538,Rice
80.9,59.8,83.7,28.87,68.89,6.67,91.44,Chili
34.3,85.4,25.2,16.05,70.43,7.29,46.3,Pea
53.4,52.6,45.6,15.91,8.607765974558484,,57.67,Barley
67.7,45.0,42.8,19.82,59.71,6.66,72.84,Wheat
64.2,60.5,62.9,19.51,70.64,6.67,44.82,Onion
81.0,55.4,79.2,24.45,66.44,6.27,789.5719335380577,Chili
87.3,52.4,84.5,27.42,73.97,6.29,83.95,Chili
32.9,76.9,29.0,14.71,72.48,6.48,43.38,Pea
98.3,59.5,64.1,27.94,84.16,6.35,240.26,Rice
32.5,24.9,21.3,21.11,54.21,6.41,133.76,Apple
99.8,71.8,71.1,26.36,85.99,6.37,200.04,Rice
61.1,72.2,66.0,21.1,83.75,5.22,64.34,Potato
103.9,63.4,85.5,22.99,68.22,6.57,73.69,Maize
26.3,94.2,27.5,18.03,65.22,7.3,29.54,Lentil
60.8,63.7,68.1,18.83,71.08,6.59,48.65,Onion
130.7,74.9,124.8,16.54,88.04,,72.38,Cauliflower
100.0,65.0,106.0,28.49,82.1,7.83,99.3,Sugarcane
58.0,28.3,29.5,28.04,51.58,6.01,50.28,Millet
71.2,48.9,44.8,19.3,53.25,6.48,90.93,Wheat
57.3,61.4,53.5,21.38,66.87,6.64,64.62,Mustard
103.9,55.2,78.7,21.82,67.37,6.4,83.2,Maize
119.6,96.2,379.9,29.02,76.8,6.11,122.77,Banana
75.4,56.3,77.7,25.52,73.55,6.32,88.24,Chili
108.7,70.4,60.2,25.62,88.65,6.08,275.33,Rice
31.0,92.0,29.7,22.24,66.46,6.93,29.12,Lentil
129.5,64.3,134.8,18.26,86.59,6.09,71.69,Cabbage
74.2,49.1,47.4,20.61,61.31,6.27,72.68,Wheat
65.6,61.3,55.5,22.06,72.23,6.44,53.31,Onion
38.9,21.4,33.3,30.59,62.08,6.68,90.82,Mango
56.1,32.6,29.9,27.98,52.26,6.56,52.64,Millet
29.1,16.9,28.3,29.2,61.34,6.82,96.14,Mango
67.5,58.8,62.7,25.84,68.9,6.5,61.13,Tomato
54.0,41.8,41.3,15.6,58.39,6.26,57.91,Barley
109.3,65.6,85.8,21.05,69.74,6.34,76.62,Maize
98.7,67.1,79.7,23.25,68.94,6.19,83.97,Maize
55.6,44.3,34.1,17.51,63.49,6.45,63.45,Barley
48.0,47.4,49.7,19.37,61.67,6.96,56.96,Mustard
67.5,68.8,69.2,18.41,68.7,6.38,59.64,Onion
30.1,18.6,30.3,21.12,56.81,5.93,141.03,Apple
28.2,21.6,30.5,19.53,61.53,5.82,152.52,Apple
61.8,47.4,54.0,19.68,62.4,6.43,67.03,Wheat
29.9,49.5,37.8,22.67,69.65,6.3,60.31,Soybean
53.5,48.4,39.4,16.67,61.03,6.66,58.34,Barley
101.4,61.8,51.5,24.8,90.13,6.24,242.04,Rice
95.8,77.2,97.8,22.18,81.25,7.4,102.41,Sugarcane
26.1,78.0,23.2,14.8,75.52,6.5,47.43,Pea
26.8,85.6,33.0,24.0,65.8,6.93,35.54,Lentil
73.0,58.4,57.2,27.51,75.25,6.4,68.82,Tomato
84.7,54.4,91.4,31.13,69.23,6.43,91.38,Chili
94.5,57.9,62.8,26.09,85.44,6.31,231.12,Rice
59.2,53.1,48.4,24.02,,6.48,58.21,Tomato
53.7,60.3,60.3,20.26,68.98,6.86,44.71,Onion
56.9,52.2,46.8,16.1,62.29,6.72,58.8,Barley
55.2,67.7,65.5,18.5,67.38,6.76,56.16,Onion
50.8,33.6,53.3,14.05,61.59,6.3,54.02,Barley
34.4,14.3,32.6,19.73,66.29,5.74,155.36,Apple
88.2,48.4,80.5,27.07,68.11,6.77,95.37,Chili
27.0,24.1,28.7,31.05,61.79,6.21,95.11,Mango
71.0,40.1,42.7,20.77,62.61,6.69,70.02,Wheat
101.8,60.1,69.5,24.53,67.96,6.5,71.97,Maize
87.9,49.1,80.6,24.84,66.78,6.78,102.19,Chili
119.4,81.1,120.7,16.64,84.44,6.12,75.22,Cauliflower
33.6,84.0,33.7,17.72,64.31,6.52,44.66,Lentil
55.3,56.2,61.3,17.01,64.32,6.41,57.74,Mustard
49.8,44.9,47.2,17.32,60.61,6.61,54.6,Barley
119.7,88.6,125.1,16.44,84.36,6.02,79.49,Cauliflower
56.7,24.5,30.6,30.68,46.41,6.22,25.82,Millet
59.6,65.1,67.9,22.47,71.3,6.68,54.32,Onion
72.9,70.4,67.2,23.18,85.06,5.29,56.78,Potato
27.6,20.8,32.0,22.51,59.49,5.91,142.31,Apple
116.0,80.0,149.4,19.04,85.09,6.26,70.1,Cabbage
88.9,64.3,89.9,30.61,82.53,6.94,111.12,Sugarcane
134.3,108.0,350.7,28.21,80.24,6.05,129.95,Banana
125.2,84.2,130.1,15.82,83.1,6.16,70.92,Cabbage
63.3,55.5,66.0,24.99,75.68,6.27,59.57,Tomato
93.0,71.6,89.0,26.63,83.08,6.62,116.87,Sugarcane
60.5,56.5,55.4,9.15,63.64,6.37,58.14,Mustard
64.8,67.8,63.4,16.34,90.67,5.12,58.73,Potato
137.1,85.1,130.5,16.16,84.52,5.82,74.08,Cauliflower
99.7,58.4,53.9,,89.39,6.38,200.56,Rice
33.1,17.9,25.6,24.28,118.46205305964841,5.96,151.59,Apple
50.8,59.6,52.4,15.44,64.81,6.84,48.96,Mustard
134.2,115.7,461.1,27.01,78.15,5.83,127.41,Banana
26.8,84.9,31.7,13.27,76.32,6.71,46.58,Pea
31.9,,32.2,28.18,66.11,6.61,94.83,Mango
55.3,43.2,48.5,14.53,60.26,6.39,62.65,Barley
29.6,73.7,32.5,12.76,74.96,6.74,46.64,Pea
125.9,112.6,425.5,27.17,104.64603562234545,6.21,141.89,Banana
121.5,83.4,128.0,17.08,84.54,6.21,73.61,Cabbage
29.5,81.1,34.2,15.43,73.03,7.0,52.46,Pea
65.1,39.1,53.5,23.16,60.52,7.01,76.46,Wheat
97.5,87.7,124.4,16.91,83.32,5.84,71.6,Cauliflower
29.4,28.2,29.0,30.58,53.57,6.64,109.52,Mango
53.0,32.8,26.0,28.27,51.02,6.05,56.87,Millet
30.9,42.2,31.6,24.09,68.32,6.25,58.09,Soybean
70.1,68.1,62.5,18.19,70.19,6.32,55.12,Onion
137.3,108.4,442.5,27.37,77.46,6.02,144.47,Banana
66.3,67.7,61.6,14.6,70.14,6.44,52.4,Garlic
30.0,17.1,29.3,26.28,61.04,5.55,97.59,Mango
61.3,45.7,58.4,21.24,66.36,6.85,52.68,Mustard
96.0,66.0,91.3,21.9,72.27,6.17,91.29,Maize
55.1,48.4,48.9,16.13,66.61,6.82,47.53,Mustard
52.8,57.4,54.4,17.32,65.66,6.49,62.15,Mustard
52.4,31.8,28.0,29.97,56.05,6.7,46.61,Millet
63.4,41.4,44.6,14.56,60.7,6.48,58.52,Barley
24.2,18.8,29.3,30.86,53.1,6.51,104.28,Mango
60.1,66.0,61.8,17.44,69.72,6.76,42.71,Onion
93.3,69.4,92.2,27.28,78.63,7.09,112.0,Sugarcane
28.5,71.8,27.5,12.27,76.59,6.78,57.84,Pea
30.4,42.9,27.3,23.24,67.61,6.69,52.8,Soybean
70.3,70.1,70.8,18.34,84.44,4.99,64.45,Potato
62.5,52.2,38.7,21.36,59.07,6.68,81.59,Wheat
24.9,44.4,27.0,26.01,64.61,6.56,52.9,Soybean
123.6,82.6,116.8,17.53,84.8,6.19,70.62,Cabbage
33.7,16.4,33.5,23.11,62.55,6.13,142.26,Apple
77.1,51.6,89.8,28.87,72.15,6.43,93.14,Chili
34.0,81.3,32.5,14.47,74.63,6.98,48.94,Pea
69.7,63.0,66.3,16.03,69.22,6.55,48.87,Garlic
65.1,61.5,71.6,14.37,69.4,6.42,48.08,Garlic
70.2,71.2,74.4,16.11,68.31,6.48,42.17,Garlic
32.2,68.1,25.3,15.58,74.59,6.79,52.25,Pea
133.9,74.9,128.8,17.75,87.64,6.25,66.23,Cabbage
65.0,48.3,39.5,19.35,62.32,6.96,72.55,Wheat
65.0,59.7,58.7,18.32,85.69,5.14,57.35,Potato
109.5,88.8,121.2,17.78,87.97,5.91,71.86,Cauliflower
125.2,71.8,125.4,18.55,87.9,6.22,66.7,Cabbage
60.7,64.9,67.4,21.28,87.86,5.13,60.28,Potato
60.5,70.0,67.5,18.52,70.32,6.48,42.43,Garlic
54.0,49.3,49.5,13.52,66.28,7.05,44.19,Mustard
30.5,43.0,30.4,25.25,68.07,6.35,53.5,Soybean
26.7,16.5,28.6,20.97,57.81,6.17,144.63,Apple
62.0,58.9,63.0,15.68,69.28,6.51,44.61,Garlic
22.0,93.7,26.8,14.24,74.74,6.97,47.98,Pea
33.3,80.1,30.7,21.74,64.2,6.41,37.79,Lentil
63.3,67.5,58.1,22.16,69.69,6.63,54.8,Onion
61.9,64.0,71.5,21.45,88.07,5.01,56.8,Potato
66.3,44.0,41.2,21.75,65.52,6.63,69.9,Wheat
115.4,93.2,423.4,28.66,80.03,6.41,150.99,Banana
59.2,36.2,43.1,20.26,59.68,6.65,67.12,Wheat
28.0,69.4,30.2,13.94,75.09,6.74,45.95,Pea
57.2,54.6,54.6,20.16,62.64,6.44,58.88,Mustard
111.8,94.3,119.3,17.28,84.28,5.82,84.63,Cauliflower
100.0,58.4,50.6,26.45,86.64,6.05,220.97,Rice
128.7,90.0,121.0,17.97,82.85,,76.88,Cabbage
92.5,77.3,114.7,24.64,81.94,6.21,114.91,Sugarcane
112.3,58.5,57.7,27.45,86.74,6.45,184.59,Rice
59.9,61.5,47.4,15.74,65.96,6.79,56.47,Mustard
65.9,59.9,46.8,19.48,63.07,6.87,78.5,Wheat
62.3,40.5,35.9,15.96,63.97,6.92,52.77,Barley
65.9,48.6,69.8,24.82,69.62,6.52,62.23,Tomato
45.6,54.4,48.0,16.3,65.62,6.81,54.17,Barley
114.2,104.0,449.2,27.62,81.05,5.75,142.4,Banana
66.0,59.9,55.0,23.5,66.35,6.75,66.41,Mustard
65.7,58.5,61.2,18.07,70.09,6.66,46.16,Garlic
25.8,24.0,28.0,28.88,64.83,6.13,93.94,Mango
63.3,55.9,68.8,14.34,69.89,6.53,45.1,Garlic
58.1,69.9,61.1,18.7,89.98,4.91,54.92,Potato
57.5,27.7,26.2,33.94,46.98,6.63,53.25,Millet
71.7,29.1,25.8,28.33,49.08,6.63,48.45,Millet
67.3,51.7,47.6,19.84,67.57,6.97,79.78,Wheat
84.2,70.5,102.2,24.05,84.55,7.27,124.43,Sugarcane
29.9,17.6,29.9,18.66,61.43,5.98,135.52,Apple
72.1,55.3,62.2,20.04,68.53,6.36,52.37,Onion
30.5,21.2,25.9,19.16,57.27,6.24,144.46,Apple
56.7,40.9,42.5,15.82,65.44,6.95,65.54,Barley
67.5,67.8,62.4,16.77,72.82,6.48,43.3,Garlic
105.9,52.8,89.2,22.97,72.29,6.69,75.74,Maize
71.5,57.6,73.7,30.17,67.63,6.25,110.34,Chili
105.5,60.1,69.7,26.84,94.3,6.41,203.57,Rice
122.3,95.9,396.6,27.55,77.44,6.45,121.82,Banana
33.1,45.9,28.8,28.58,69.69,6.69,53.66,Soybean
27.4,40.4,28.5,25.12,73.98,6.28,53.93,Soybean
74.7,66.6,68.4,18.06,71.15,6.68,51.27,Onion
65.8,65.1,64.9,18.88,67.93,6.44,48.04,Onion
57.7,57.4,51.4,16.21,64.93,6.26,52.57,Mustard
49.0,49.9,41.2,16.53,66.4,6.34,61.28,Barley
61.7,47.3,40.1,20.1,61.49,6.66,76.42,Wheat
26.5,23.9,29.5,29.56,54.98,6.84,105.23,Mango
27.3,72.9,31.6,15.6,74.39,13.871917454111728,45.77,Pea
134.7,80.0,129.5,16.79,83.97,6.28,84.46,Cabbage
25.5,19.7,36.5,31.52,58.29,6.57,99.98,Mango
78.3,56.7,84.3,27.42,67.36,6.63,95.33,Chili
135.2,79.2,125.6,18.52,88.66,6.26,79.39,Cauliflower
28.4,22.6,33.1,30.17,65.56,6.21,95.94,Mango
67.8,66.4,67.2,16.34,70.49,6.47,43.74,Garlic
65.3,34.2,36.8,28.73,53.67,5.91,36.73,Millet
34.3,48.3,27.6,26.96,69.0,6.29,54.43,Soybean
131.4,96.0,307.2,27.98,78.76,6.28,132.19,Banana
70.7,55.2,72.7,24.12,68.55,6.51,49.18,Tomato
126.8,80.9,129.7,17.09,84.64,6.14,76.39,Cauliflower
31.1,74.0,32.5,14.72,75.3,6.64,45.81,Pea
104.9,60.3,64.9,27.3,87.7,5.75,247.91,Rice
121.5,78.5,125.6,18.09,85.71,5.97,75.28,Cauliflower
-0.9421564361296539,53.3,86.7,29.53,67.73,6.55,102.04,Chili
89.3,55.8,84.9,22.2,68.45,6.41,70.45,Maize
91.0,49.4,82.8,22.18,71.26,6.54,87.21,Maize
56.5,28.7,32.0,30.56,49.23,6.28,49.08,Millet
53.2,57.3,59.6,13.13,66.05,6.64,60.63,Mustard
22.5,46.0,36.4,24.41,69.25,6.55,53.14,Soybean
67.2,77.4,64.4,19.83,68.99,6.51,51.16,Onion
25.2,71.3,26.5,19.31,62.77,6.27,32.77,Lentil
53.1,50.3,53.8,18.2,64.43,6.65,56.29,Mustard
61.3,56.5,66.4,24.72,72.12,6.26,64.07,Tomato
63.4,54.0,46.2,20.83,62.22,6.86,81.99,Wheat
61.5,57.6,71.8,24.17,71.77,6.26,76.31,Tomato
32.1,71.5,28.9,23.24,64.92,6.84,33.56,Lentil
64.9,72.3,70.4,18.6,70.37,6.35,42.8,Garlic
102.7,64.8,81.5,22.01,71.97,6.54,87.56,Maize
71.1,51.4,64.3,25.77,68.55,6.46,63.7,Tomato
132.4,89.9,315.2,27.47,77.57,6.25,164.21,Banana
61.0,58.0,73.9,14.09,71.14,6.34,34.65,Garlic
132.0,68.0,131.1,16.97,83.77,6.33,80.81,Cabbage
29.0,19.3,29.5,27.97,63.91,6.16,102.65,Mango
61.0,56.9,68.5,25.24,75.35,6.46,66.09,Tomato
114.1,79.5,135.5,18.34,85.39,,69.7,Cabbage
94.9,61.9,106.4,26.59,84.78,7.52,118.21,Sugarcane
94.4,65.1,69.7,21.55,71.99,6.27,83.03,Maize
84.1,50.8,80.9,31.86,66.02,6.67,101.8,Chili
96.9,67.3,60.4,24.81,85.71,6.42,206.74,Rice
72.2,64.3,59.1,15.37,67.87,6.36,40.57,Garlic
30.6,33.0,27.7,24.2,63.75,6.31,48.4,Soybean
93.2,60.4,80.7,20.88,69.42,6.48,88.0,Maize
26.5,22.8,36.2,28.91,62.8,6.91,108.48,Mango
103.6,96.3,459.6,28.01,79.49,6.0,144.73,Banana
61.9,55.4,63.3,24.45,70.27,6.41,65.07,Tomato
25.1,83.2,32.9,20.32,66.92,6.73,37.27,Lentil
95.1,70.6,95.3,22.44,84.36,7.04,117.85,Sugarcane
30.1,26.0,26.1,19.43,56.27,6.2,163.41,Apple
24.5,73.5,30.4,20.14,65.63,6.86,38.91,Lentil
94.7,56.8,53.6,27.81,91.56,6.33,218.69,Rice
85.7,62.6,89.7,25.8,81.13,6.93,122.96,Sugarcane
112.3,82.4,125.3,17.32,84.39,6.42,70.89,Cabbage
112.5,100.9,411.1,28.22,79.53,6.05,146.28,Banana
61.4,43.8,50.9,20.32,58.23,6.87,65.81,Wheat
100.7,51.1,56.0,28.3,83.52,6.36,224.51,Rice
99.0,57.8,73.0,20.74,71.55,6.29,87.64,Maize
61.2,68.3,58.3,19.1,67.78,6.57,53.24,Onion
130.6,87.9,393.2,28.48,75.11,6.22,144.72,Banana
44.5,52.5,42.6,15.98,64.47,6.88,60.63,Barley
97.1,50.1,78.6,24.31,64.91,6.19,86.05,Maize
58.8,65.3,44.8,22.44,64.57,6.99,60.81,Mustard
111.5,82.3,127.4,16.72,85.97,6.13,71.73,Cabbage
62.6,45.8,43.7,14.08,62.77,7.27,62.88,Barley
26.8,44.1,30.9,24.54,71.95,6.55,61.11,Soybean
34.5,22.9,30.0,27.15,58.12,7.03,111.55,Mango
116.3,94.9,419.8,29.63,79.43,6.08,132.59,Banana
136.4,97.8,389.9,28.44,79.78,6.01,106.39,Banana
65.4,60.9,67.5,26.86,60.67,6.36,68.71,Tomato
62.2,34.2,27.9,28.92,50.15,6.27,41.98,Millet
57.2,70.3,65.5,19.83,69.0,6.37,51.59,Onion
98.1,51.5,83.4,21.25,77.28,6.51,80.16,Maize
31.6,79.3,29.6,14.7,76.31,6.77,52.17,Pea
59.9,54.6,55.6,19.05,64.88,6.55,54.68,Mustard
29.5,23.4,29.4,23.34,60.45,6.18,150.74,Apple
27.1,77.9,32.5,14.42,74.62,6.59,48.82,Pea
71.5,49.6,58.1,24.99,62.8,6.56,68.14,Tomato
58.7,34.6,32.8,31.65,48.27,6.39,49.92,Millet
56.0,26.0,29.3,29.32,46.49,6.37,54.79,Millet
69.6,64.9,58.6,14.0,69.97,6.1,42.41,Garlic
67.2,54.6,70.5,26.62,71.38,6.41,64.38,Tomato
118.1,107.3,418.9,27.66,78.26,5.78,153.15,Banana
29.5,79.5,32.3,18.12,67.68,6.53,29.51,Lentil
32.7,81.8,28.4,21.12,64.54,6.67,37.7,Lentil
28.7,42.8,32.0,22.4,66.41,6.56,57.08,Soybean
81.4,51.1,72.8,30.05,70.43,6.61,68.42,Chili
59.6,48.4,39.3,21.11,61.54,6.32,69.35,Wheat
29.2,39.0,36.5,23.73,72.21,6.68,53.15,Soybean
29.4,81.8,33.6,15.19,74.27,6.72,51.27,Pea
69.4,62.8,58.1,19.31,70.69,6.6,56.8,Onion
128.5,66.9,124.4,17.79,84.05,6.21,72.75,Cabbage
59.0,57.7,54.1,12.43,63.65,6.59,53.63,Mustard
70.7,61.1,85.1,30.47,72.71,6.46,115.33,Chili
30.8,32.8,29.4,24.66,65.45,6.35,57.7,Soybean
106.3,61.3,93.0,24.04,67.82,6.41,84.61,Maize
136.3,95.6,413.9,28.13,81.88,6.19,142.57,Banana
101.4,58.0,78.5,23.65,66.53,6.79,69.82,Maize
35.5,45.3,35.5,24.73,69.19,6.51,54.58,Soybean
67.1,52.0,48.3,17.49,63.51,6.5,71.8,Wheat
101.4,58.0,78.5,23.65,66.53,6.79,69.82,Maize
92.8,70.8,96.5,30.15,85.05,6.8,104.8,Sugarcane
126.8,86.4,116.1,18.37,86.78,6.05,70.97,Cauliflower
30.5,37.9,27.9,24.24,66.61,6.64,57.7,Soybean
31.3,20.9,31.3,21.27,59.83,6.25,122.5,Apple
52.5,42.7,47.9,14.94,61.88,6.97,58.53,Barley
34.5,84.3,26.0,14.28,76.0,6.28,47.32,Pea
32.5,25.0,33.7,30.42,63.62,5.93,95.65,Mango
66.3,67.9,64.3,20.48,71.55,6.33,51.32,Onion
119.9,107.1,371.1,28.1,79.13,6.2,130.98,Banana
64.1,62.7,70.5,19.12,71.48,6.68,52.83,Onion
137.0,112.2,404.8,27.23,,5.65,125.55,Banana
69.5,47.7,61.7,24.8,74.55,6.39,63.0,Tomato
27.6,83.7,30.7,14.23,73.27,7.03,47.42,Pea
29.8,47.7,25.5,23.76,69.61,6.82,54.62,Soybean
29.5,22.7,32.0,30.55,64.63,6.13,96.06,Mango
33.6,77.0,26.4,12.99,77.86,6.59,46.99,Pea
57.4,38.3,40.1,16.88,57.49,6.83,51.95,Barley
122.8,89.6,119.9,18.38,82.7,6.15,84.51,Cabbage
48.0,28.6,35.2,27.41,52.46,13.126322891099369,42.64,Millet
83.9,66.7,83.0,29.62,84.29,6.42,129.17,Sugarcane
119.9,68.7,101.0,16.77,87.29,6.21,71.41,Cauliflower
93.0,73.2,116.1,25.68,79.7,6.75,112.9,Sugarcane
133.6,85.8,122.8,17.8,87.79,6.18,71.08,Cauliflower
31.8,77.5,30.4,20.29,64.41,6.77,35.94,Lentil
69.7,57.2,62.0,27.23,65.47,6.39,66.45,Tomato
59.3,53.7,55.1,15.04,66.01,6.38,54.52,Mustard
61.9,67.5,71.1,17.51,87.08,5.13,59.66,Potato
63.6,67.2,62.8,18.62,70.01,6.59,51.55,Onion
54.3,33.7,27.1,29.71,53.6,6.05,43.67,Millet
119.1,76.0,120.9,18.47,87.15,6.13,80.03,Cabbage
65.9,63.6,55.4,16.32,69.48,6.49,39.09,Garlic
94.4,74.3,278.2516314068156,28.27,89.08,6.35,220.37,Rice
70.3,55.0,65.9,24.59,71.9,6.31,66.62,Tomato
133.1,90.0,112.1,17.21,86.72,5.97,70.45,Cauliflower
68.2,51.5,62.8,22.54,62.36,6.25,49.53,Tomato
51.1,49.5,42.3,12.29,61.08,6.68,56.79,Barley
112.4,68.1,63.9,26.93,85.1,6.16,252.22,Rice
54.1,27.9,23.6,31.73,58.07,6.14,43.19,Millet
,70.0,30.6,11.75,75.16,6.59,43.89,Pea
64.6,71.6,61.5,23.11,85.82,5.11,59.06,Potato
105.8,52.1,83.9,23.43,63.63,6.42,81.1,Maize
32.5,83.4,27.7,21.48,62.45,6.32,32.18,Lentil
121.6,105.7,422.2,28.73,77.9,6.07,130.3,Banana
125.2,102.2,400.4,27.32,80.04,5.78,138.35,Banana
27.9,48.0,31.3,23.65,74.73,6.55,57.43,Soybean
25.7,24.9,25.3,31.18,54.94,6.7,115.52,Mango
26.6,19.6,28.4,31.44,58.26,6.49,104.22,Mango
73.7,57.7,62.9,27.21,69.89,6.43,59.71,Tomato
93.6,59.5,82.4,25.64,64.96,6.63,93.11,Maize
71.9,57.4,61.0,18.43,72.29,6.42,44.19,Onion
26.1,83.3,29.4,13.16,79.4,7.01,51.9,Pea
92.3,41.1,74.6,23.94,71.72,6.36,84.81,Maize
31.2,21.4,22.1,29.06,59.87,6.93,100.4,Mango
48.4,53.9,54.9,15.8,64.06,6.96,57.35,Mustard
28.3,53.6,29.4,24.86,62.61,6.47,57.79,Soybean
92.6,62.0,92.8,31.2,85.5,6.99,111.41,Sugarcane
115.1,91.1,128.6,17.29,85.27,6.08,67.86,Cauliflower
120.8,102.5,391.6,27.91,79.46,6.08,141.09,Banana
125.5,74.9,120.5,17.16,87.4,5.99,68.39,Cauliflower
81.4,67.1,109.4,26.21,80.99,6.85,97.31,Sugarcane
53.9,41.0,36.1,16.24,63.45,6.5,55.28,Barley
56.3,68.9,59.7,16.57,73.04,6.36,46.39,Onion
105.0,62.5,68.6,29.18,87.15,5.94,219.77,Rice
60.7,41.7,43.5,17.76,57.27,6.63,82.29,Wheat
29.1,46.1,27.3,26.17,69.74,6.45,53.79,Soybean
53.8,45.0,38.4,16.13,63.91,6.38,55.33,Barley
62.0,52.1,61.6,17.62,65.39,6.73,54.01,Mustard
62.5,68.3,74.3,18.74,83.34,4.9,59.5,Potato
87.9,75.7,97.1,27.98,84.7,7.16,130.58,Sugarcane
129.2,100.3,394.4,28.1,80.99,6.11,154.59,Banana
93.3,55.8,80.7,27.55,68.68,6.55,102.75,Chili
65.8,66.0,63.6,21.13,68.87,6.72,53.13,Onion
76.8,41.1,38.1,20.51,62.41,6.69,87.11,Wheat
27.0,20.5,27.3,21.82,60.47,5.81,141.08,Apple
49.9,62.9,69.0,28.34,74.12,6.61,65.86,Tomato
68.0,66.3,63.8,19.56,68.6,6.36,53.52,Onion
64.9,60.2,67.5,19.93,86.25,5.21,55.83,Potato
30.2,78.4,28.9,12.69,72.66,7.25,47.61,Pea
72.3,65.6,58.1,15.58,70.43,6.39,39.93,Garlic
28.5,50.2,26.4,25.58,68.72,6.37,63.62,Soybean
69.5,43.7,40.5,16.41,57.6,6.7,66.77,Wheat
59.7,60.8,68.8,16.1,71.45,6.67,41.37,Garlic
57.8,39.6,43.4,17.45,66.99,6.86,56.79,Barley
54.6,29.7,36.3,28.46,42.22,6.33,60.01,Millet
27.8,19.5,34.6,21.5,56.4,5.83,132.01,Apple
30.2,73.3,35.3,22.35,64.11,7.2,37.48,Lentil
104.6,57.3,61.5,27.53,87.74,6.06,225.61,Rice
26.1,81.2,32.9,19.85,63.24,6.72,39.99,Lentil
55.6,49.4,43.7,14.41,57.65,6.53,59.26,Barley
31.7,21.3,29.6,29.59,55.32,6.31,100.42,Mango
74.3,60.4,61.7,21.9,70.89,6.61,54.48,Onion
126.6,83.9,128.7,17.46,84.29,6.07,74.41,Cauliflower
131.7,105.4,371.3,28.43,78.61,5.73,135.1,Banana
60.7,68.5,77.9,20.83,82.52,5.06,60.41,Potato
68.6,51.6,57.9,22.84,65.13,6.53,49.9,Tomato
35.6,46.2,32.4,23.95,74.29,6.46,55.93,Soybean
27.1,47.7,27.3,,75.14,6.67,58.01,Soybean
66.2,65.6,66.6,19.84,87.52,5.04,57.5,Potato
